YEAR,spring_oni,spring_iod,spring_soi,pct_departure_national,total_area,total_production,national_yield
1997,0.28,0.041,-0.7666666666666666,2.26,14510308.0,33089340,2.2804023181313586
1998,0.99,0.044000000000000004,-1.1666666666666667,0.84,24280749.0,47876569,1.971791273819436
1999,-0.98,-0.028333333333333335,0.9666666666666668,-3.54,25744811.0,54909249,2.1328278152828544
2000,-0.81,0.13166666666666665,0.9666666666666667,-8.67,25667718.0,51378255,2.0016682043958873
2001,-0.34,0.08766666666666667,0.20000000000000004,-6.89,29219114.0,60896314,2.084125959466122
2002,0.2,-0.22433333333333336,-0.3666666666666667,-22.32,26615648.0,43896528,1.6492751932998213
2003,-0.04,-0.10066666666666668,-0.2333333333333333,-0.31,27840000.37,57711377,2.072966100323367
2004,0.17,-0.18899999999999997,0.16666666666666666,-12.6,24146136.92,50495453,2.0912435462160874
2005,0.43,-0.12733333333333333,-0.3666666666666667,0.55,24099779.38,52610480,2.1830274530919795
2006,-0.37,-0.14966666666666664,0.8000000000000002,2.09,24378966.17,54147289,2.221065841037672
2007,-0.32,0.16166666666666668,0.0,9.73,24182515.75,56315713,2.328778096629587
2008,-1.01,0.041,0.6666666666666665,4.1,24803218.0,55252478,2.2276334465955183
2009,-0.33,0.161,0.3666666666666667,-21.65,21497520.0,49849149,2.318832544405122
2010,0.35,0.26633333333333337,0.4666666666666666,-0.76,24950685.0,58278991,2.3357671743280797
2011,-0.62,0.14400000000000002,1.6000000000000003,3.38,25220888.0,62856425,2.4922367919797273
2012,-0.36,-0.205,0.13333333333333333,-8.38,24348998.0,61913290,2.5427448800973247
2013,-0.19,-0.24,0.8333333333333334,8.31,24792406.0,64015339,2.582054319375054
2014,0.15,-0.10033333333333333,0.13333333333333333,-13.58,24727598.5,63562850,2.570522568133739
2015,0.81,-0.0030000000000000027,-0.4666666666666666,-14.0,24477049.0,58008599,2.36991799951048
2016,1.05,0.008333333333333326,-0.3,-2.6,24695669.0,65979483,2.671702596920942
2017,0.31,0.46366666666666667,0.3333333333333333,-5.2,24361889.7,62075194,2.5480451132655775
2018,-0.39,-0.027000000000000007,0.7999999999999999,-9.4,26254036.0,67962297,2.588641875862439
2019,0.77,0.341,-0.19999999999999998,9.96,26996151.0,75972780,2.8142078476298344
