YEAR,spring_oni,spring_iod,spring_soi,pct_departure_national
1950,-1.18,-0.49166666666666664,,2.91
1951,0.18,-0.131,-0.3666666666666667,-13.31
1952,0.29,0.01733333333333334,0.3666666666666667,-6.97
1953,0.66,0.15,-0.5666666666666667,8.3
1954,-0.41,-0.2406666666666667,0.4666666666666666,3.88
1955,-0.8,-0.24033333333333332,0.5,9.14
1956,-0.54,-0.29033333333333333,1.2,15.37
1957,0.72,-0.27466666666666667,-0.09999999999999998,-7.46
1958,0.93,-0.4056666666666667,0.06666666666666665,4.34
1959,0.33,-0.5406666666666666,0.7333333333333334,10.79
1960,0.03,-0.6389999999999999,0.7666666666666666,-1.48
1961,0.09,-0.391,-0.2333333333333333,19.72
1962,-0.26,-0.016000000000000014,0.46666666666666673,-4.99
1963,0.27,-0.06133333333333333,0.7666666666666667,0.66
1964,-0.33,-0.35200000000000004,0.8000000000000002,8.25
1965,0.18,-0.337,0.16666666666666666,-16.77
1966,0.66,-0.39966666666666667,-0.5,-13.17
1967,-0.45,-0.060000000000000005,0.39999999999999997,0.92
1968,-0.44,0.03433333333333333,0.43333333333333335,-11.45
1969,0.77,-0.05200000000000001,-0.06666666666666667,-2.48
1970,0.19,0.15633333333333335,0.3,10.28
1971,-0.85,0.12466666666666665,1.6333333333333335,4.06
1972,0.41,0.106,-0.3666666666666667,-23.39
1973,-0.1,-0.011000000000000001,0.39999999999999997,7.17
1974,-1.03,-0.014333333333333328,1.4333333333333333,-12.23
1975,-0.73,-0.10366666666666667,1.1333333333333333,12.96
1976,-0.47,0.04599999999999999,0.7999999999999999,0.53
1977,0.23,-0.06533333333333334,-0.4666666666666666,3.63
1978,-0.18,-0.44333333333333336,0.3,6.7
1979,0.28,-0.22833333333333336,0.16666666666666666,-16.95
1980,0.38,-0.19333333333333336,-0.3333333333333333,3.58
1981,-0.37,0.033666666666666664,-0.20000000000000004,0.0
1982,0.47,0.132,0.13333333333333333,-13.73
1983,1.29,-0.45533333333333337,-0.8999999999999999,12.15
1984,-0.43,-0.12533333333333332,0.09999999999999999,-1.83
1985,-0.78,-0.32133333333333336,0.7999999999999999,-10.84
1986,-0.2,-0.21333333333333335,0.20000000000000004,-12.82
1987,0.95,-0.04333333333333334,-1.3333333333333333,-18.2
1988,-0.31,-0.318,0.5333333333333333,12.83
1989,-0.83,-0.46433333333333326,1.3,1.69
1990,0.29,-0.29233333333333333,0.3333333333333333,6.61
1991,0.26,0.21,-0.7666666666666666,-7.85
1992,1.29,-0.5910000000000001,-0.9,-7.9
1993,0.67,-0.16766666666666666,-0.6666666666666666,1.7
1994,0.31,0.36566666666666664,-0.9,11.81
1995,0.3,-0.17400000000000002,-0.09999999999999998,-6.09
1996,-0.39,-0.24,0.7333333333333334,0.76
1997,0.28,0.041,-0.7666666666666666,2.26
1998,0.99,0.044000000000000004,-1.1666666666666667,0.84
1999,-0.98,-0.028333333333333335,0.9666666666666668,-3.54
2000,-0.81,0.13166666666666665,0.9666666666666667,-8.67
2001,-0.34,0.08766666666666667,0.20000000000000004,-6.89
2002,0.2,-0.22433333333333336,-0.3666666666666667,-22.32
2003,-0.04,-0.10066666666666668,-0.2333333333333333,-0.31
2004,0.17,-0.18899999999999997,0.16666666666666666,-12.6
2005,0.43,-0.12733333333333333,-0.3666666666666667,0.55
2006,-0.37,-0.14966666666666664,0.8000000000000002,2.09
2007,-0.32,0.16166666666666668,0.0,9.73
2008,-1.01,0.041,0.6666666666666665,4.1
2009,-0.33,0.161,0.3666666666666667,-21.65
2010,0.35,0.26633333333333337,0.4666666666666666,-0.76
2011,-0.62,0.14400000000000002,1.6000000000000003,3.38
2012,-0.36,-0.205,0.13333333333333333,-8.38
2013,-0.19,-0.24,0.8333333333333334,8.31
2014,0.15,-0.10033333333333333,0.13333333333333333,-13.58
2015,0.81,-0.0030000000000000027,-0.4666666666666666,-14.0
2016,1.05,0.008333333333333326,-0.3,-2.6
2017,0.31,0.46366666666666667,0.3333333333333333,-5.2
2018,-0.39,-0.027000000000000007,0.7999999999999999,-9.4
2019,0.77,0.341,-0.19999999999999998,9.96
