YEAR,djf_oni,pct_departure_national
1950,-1.53,2.91
1951,-0.82,-13.31
1952,0.53,-6.97
1953,0.4,8.3
1954,0.76,3.88
1955,-0.68,9.14
1956,-1.11,15.37
1957,-0.25,-7.46
1958,1.81,4.34
1959,0.61,10.79
1960,-0.1,-1.48
1961,0.04,19.72
1962,-0.24,-4.99
1963,-0.4,0.66
1964,1.07,8.25
1965,-0.59,-16.77
1966,1.37,-13.17
1967,-0.41,0.92
1968,-0.64,-11.45
1969,1.13,-2.48
1970,0.51,10.28
1971,-1.36,4.06
1972,-0.71,-23.39
1973,1.84,7.17
1974,-1.84,-12.23
1975,-0.54,12.96
1976,-1.56,0.53
1977,0.71,3.63
1978,0.69,6.7
1979,0.03,-16.95
1980,0.59,3.58
1981,-0.26,0.0
1982,-0.05,-13.73
1983,2.18,12.15
1984,-0.6,-1.83
1985,-1.04,-10.84
1986,-0.49,-12.82
1987,1.23,-18.2
1988,0.81,12.83
1989,-1.69,1.69
1990,0.14,6.61
1991,0.41,-7.85
1992,1.71,-7.9
1993,0.09,1.7
1994,0.06,11.81
1995,0.96,-6.09
1996,-0.9,0.76
1997,-0.5,2.26
1998,2.24,0.84
1999,-1.55,-3.54
2000,-1.66,-8.67
2001,-0.68,-6.89
2002,-0.15,-22.32
2003,0.92,-0.31
2004,0.37,-12.6
2005,0.64,0.55
2006,-0.85,2.09
2007,0.66,9.73
2008,-1.64,4.1
2009,-0.85,-21.65
2010,1.5,-0.76
2011,-1.31,3.38
2012,-0.72,-8.38
2013,-0.29,8.31
2014,-0.28,-13.58
2015,0.69,-14.0
2016,2.63,-2.6
2017,-0.19,-5.2
2018,-0.77,-9.4
2019,0.89,9.96
