SUBDIVISION,YEAR,JJAS,jjas_pct_departure,spring_oni,spring_iod,spring_soi,risk_flag,zone
Andaman & Nicobar Islands,1950,1578.4,-7.355030203948002,-1.18,-0.49166666666666664,,Normal,East
Andaman & Nicobar Islands,1951,1747.4,2.564508503307945,0.18,-0.131,-0.3666666666666667,Normal,East
Andaman & Nicobar Islands,1952,1824.8,7.107539840240543,0.29,0.01733333333333334,0.3666666666666667,Normal,East
Andaman & Nicobar Islands,1953,1627.1,-4.496559582389642,0.66,0.15,-0.5666666666666667,Normal,East
Andaman & Nicobar Islands,1954,2419.4,42.00788135109491,-0.41,-0.2406666666666667,0.4666666666666666,Excess (flood risk),East
Andaman & Nicobar Islands,1955,1648.3,-3.2522150818344557,-0.8,-0.24033333333333332,0.5,Normal,East
Andaman & Nicobar Islands,1956,1604.4,-5.828947325908626,-0.54,-0.29033333333333333,1.2,Normal,East
Andaman & Nicobar Islands,1957,1833.6,7.624060198961559,0.72,-0.27466666666666667,-0.09999999999999998,Normal,East
Andaman & Nicobar Islands,1958,1710.4,0.3927751768672939,0.93,-0.4056666666666667,0.06666666666666665,Normal,East
Andaman & Nicobar Islands,1959,2271.7,33.33855669392505,0.33,-0.5406666666666666,0.7333333333333334,Excess (flood risk),East
Andaman & Nicobar Islands,1960,1563.0,-8.258940831709792,0.03,-0.6389999999999999,0.7666666666666666,Normal,East
Andaman & Nicobar Islands,1961,1857.3,9.015143437789764,0.09,-0.391,-0.2333333333333333,Normal,East
Andaman & Nicobar Islands,1962,1671.9,-1.8670013925371673,-0.26,-0.016000000000000014,0.46666666666666673,Normal,East
Andaman & Nicobar Islands,1963,1953.5,14.661650086535458,0.27,-0.06133333333333333,0.7666666666666667,Excess (flood risk),East
Andaman & Nicobar Islands,1964,1745.9,2.476465260344135,-0.33,-0.35200000000000004,0.8000000000000002,Normal,East
Andaman & Nicobar Islands,1965,1774.3,4.1434173271256,0.18,-0.337,0.16666666666666666,Normal,East
Andaman & Nicobar Islands,1966,1372.1,-19.46391088623737,0.66,-0.39966666666666667,-0.5,Deficient (drought risk),East
Andaman & Nicobar Islands,1967,1796.4,5.440587773459078,-0.45,-0.060000000000000005,0.39999999999999997,Normal,East
Andaman & Nicobar Islands,1968,1803.3,5.845586691092596,-0.44,0.03433333333333333,0.43333333333333335,Normal,East
Andaman & Nicobar Islands,1969,1539.1,-9.661763169599839,0.77,-0.05200000000000001,-0.06666666666666667,Normal,East
Andaman & Nicobar Islands,1970,1738.2,2.02450994646324,0.19,0.15633333333333335,0.3,Normal,East
Andaman & Nicobar Islands,1971,1613.7,-5.283079219533005,-0.85,0.12466666666666665,1.6333333333333335,Normal,East
Andaman & Nicobar Islands,1972,1844.0,8.234493350177315,0.41,0.106,-0.3666666666666667,Normal,East
Andaman & Nicobar Islands,1973,1587.8,-6.803292548041466,-0.1,-0.011000000000000001,0.39999999999999997,Normal,East
Andaman & Nicobar Islands,1974,1378.7,-19.0765206171966,-1.03,-0.014333333333333328,1.4333333333333333,Deficient (drought risk),East
Andaman & Nicobar Islands,1975,1589.1,-6.7269884041395,-0.73,-0.10366666666666667,1.1333333333333333,Normal,East
Andaman & Nicobar Islands,1976,1698.2,-0.3233098659050316,-0.47,0.04599999999999999,0.7999999999999999,Normal,East
Andaman & Nicobar Islands,1977,1492.9,-12.373495052885183,0.23,-0.06533333333333334,-0.4666666666666666,Deficient (drought risk),East
Andaman & Nicobar Islands,1978,1775.9,4.237330119620339,-0.18,-0.44333333333333336,0.3,Normal,East
Andaman & Nicobar Islands,1979,1242.5,-27.070847078310567,0.28,-0.22833333333333336,0.16666666666666666,Deficient (drought risk),East
Andaman & Nicobar Islands,1980,1946.3,14.239042520309168,0.38,-0.19333333333333336,-0.3333333333333333,Excess (flood risk),East
Andaman & Nicobar Islands,1981,1908.0,11.99100504996655,-0.37,0.033666666666666664,-0.20000000000000004,Excess (flood risk),East
Andaman & Nicobar Islands,1982,1575.8,-7.507638491751948,0.47,0.132,0.13333333333333333,Normal,East
Andaman & Nicobar Islands,1983,1892.4,11.07535532314293,1.29,-0.45533333333333337,-0.8999999999999999,Excess (flood risk),East
Andaman & Nicobar Islands,1984,1280.7,-24.828679157498865,-0.43,-0.12533333333333332,0.09999999999999999,Deficient (drought risk),East
Andaman & Nicobar Islands,1985,1557.0,-8.611113803565033,-0.78,-0.32133333333333336,0.7999999999999999,Normal,East
Andaman & Nicobar Islands,1986,1473.6,-13.506318112352883,-0.2,-0.21333333333333335,0.20000000000000004,Deficient (drought risk),East
Andaman & Nicobar Islands,1987,1434.5,-15.801311978942865,0.95,-0.04333333333333334,-1.3333333333333333,Deficient (drought risk),East
Andaman & Nicobar Islands,1988,1810.5,6.268194257318887,-0.31,-0.318,0.5333333333333333,Normal,East
Andaman & Nicobar Islands,1989,1424.1,-16.41174513015862,-0.83,-0.46433333333333326,1.3,Deficient (drought risk),East
Andaman & Nicobar Islands,1990,1108.0,-34.96539119739888,0.29,-0.29233333333333333,0.3333333333333333,Deficient (drought risk),East
Andaman & Nicobar Islands,1991,1689.3,-0.8456997741569774,0.26,0.21,-0.7666666666666666,Normal,East
Andaman & Nicobar Islands,1992,1436.2,-15.701529636917211,1.29,-0.5910000000000001,-0.9,Deficient (drought risk),East
Andaman & Nicobar Islands,1993,1312.5,-22.962162406666092,0.67,-0.16766666666666666,-0.6666666666666666,Deficient (drought risk),East
Andaman & Nicobar Islands,1994,2191.5,28.631177970126675,0.31,0.36566666666666664,-0.9,Excess (flood risk),East
Andaman & Nicobar Islands,1995,1933.9,13.511218378475009,0.3,-0.17400000000000002,-0.09999999999999998,Excess (flood risk),East
Andaman & Nicobar Islands,1996,1764.3,3.556462374033532,-0.39,-0.24,0.7333333333333334,Normal,East
Andaman & Nicobar Islands,1997,1988.8,16.733601070950456,0.28,0.041,-0.7666666666666666,Excess (flood risk),East
Andaman & Nicobar Islands,1998,1561.2,-8.364592723266362,0.99,0.044000000000000004,-1.1666666666666667,Normal,East
Andaman & Nicobar Islands,1999,1358.0,-20.291517370097186,-0.98,-0.028333333333333335,0.9666666666666668,Deficient (drought risk),East
Andaman & Nicobar Islands,2000,1244.2,-26.971064736284912,-0.81,0.13166666666666665,0.9666666666666667,Deficient (drought risk),East
Andaman & Nicobar Islands,2001,1515.4,-11.05284640842803,-0.34,0.08766666666666667,0.20000000000000004,Deficient (drought risk),East
Andaman & Nicobar Islands,2002,1525.6,-10.45415235627413,0.2,-0.22433333333333336,-0.3666666666666667,Deficient (drought risk),East
Andaman & Nicobar Islands,2003,1406.1,-17.46826404572434,-0.04,-0.10066666666666668,-0.2333333333333333,Deficient (drought risk),East
Andaman & Nicobar Islands,2004,1392.2,-18.284131430522308,0.17,-0.18899999999999997,0.16666666666666666,Deficient (drought risk),East
Andaman & Nicobar Islands,2005,1700.4,-0.19417977622477398,0.43,-0.12733333333333333,-0.3666666666666667,Normal,East
Andaman & Nicobar Islands,2006,1314.9,-22.82129321792399,-0.37,-0.14966666666666664,0.8000000000000002,Deficient (drought risk),East
Andaman & Nicobar Islands,2007,1793.1,5.246892638938685,-0.32,0.16166666666666668,0.0,Normal,East
Andaman & Nicobar Islands,2008,1783.1,4.659937685846616,-1.01,0.041,0.6666666666666665,Normal,East
Andaman & Nicobar Islands,2009,1627.1,-4.496559582389642,-0.33,0.161,0.3666666666666667,Normal,East
Andaman & Nicobar Islands,2010,1797.8,5.522761466891959,0.35,0.26633333333333337,0.4666666666666666,Normal,East
Andaman & Nicobar Islands,2011,2165.0,27.075747344432692,-0.62,0.14400000000000002,1.6000000000000003,Excess (flood risk),East
Andaman & Nicobar Islands,2012,2014.0,18.212727552742468,-0.36,-0.205,0.13333333333333333,Excess (flood risk),East
Andaman & Nicobar Islands,2013,2152.1,26.31857545494392,-0.19,-0.24,0.8333333333333334,Excess (flood risk),East
Andaman & Nicobar Islands,2014,1618.7,-4.989601742986971,0.15,-0.10033333333333333,0.13333333333333333,Normal,East
Andaman & Nicobar Islands,2015,1678.6,-1.4737415739654927,0.81,-0.0030000000000000027,-0.4666666666666666,Normal,East
Andaman & Nicobar Islands,2016,1562.6,-8.282419029833479,1.05,0.008333333333333326,-0.3,Normal,East
Andaman & Nicobar Islands,2017,1526.0,-10.430674158150444,0.31,0.46366666666666667,0.3333333333333333,Deficient (drought risk),East
Arunachal Pradesh,1950,,,-1.18,-0.49166666666666664,,Normal,East
Arunachal Pradesh,1951,1974.7,-12.554805639708032,0.18,-0.131,-0.3666666666666667,Deficient (drought risk),East
Arunachal Pradesh,1952,1446.7,-35.93611045676083,0.29,0.01733333333333334,0.3666666666666667,Deficient (drought risk),East
Arunachal Pradesh,1953,1617.5,-28.372612610638452,0.66,0.15,-0.5666666666666667,Deficient (drought risk),East
Arunachal Pradesh,1957,2875.9,27.35283053667072,0.72,-0.27466666666666667,-0.09999999999999998,Excess (flood risk),East
Arunachal Pradesh,1958,3338.7,47.84689847101168,0.93,-0.4056666666666667,0.06666666666666665,Excess (flood risk),East
Arunachal Pradesh,1959,2792.6,23.664075439586433,0.33,-0.5406666666666666,0.7333333333333334,Excess (flood risk),East
Arunachal Pradesh,1960,3236.8,43.334483772417606,0.03,-0.6389999999999999,0.7666666666666666,Excess (flood risk),East
Arunachal Pradesh,1961,2137.9,-5.327856878073532,0.09,-0.391,-0.2333333333333333,Normal,East
Arunachal Pradesh,1962,3475.2,53.891497159511125,-0.26,-0.016000000000000014,0.46666666666666673,Excess (flood risk),East
Arunachal Pradesh,1963,3138.5,38.9814870612125,0.27,-0.06133333333333333,0.7666666666666667,Excess (flood risk),East
Arunachal Pradesh,1964,3896.1,72.53011685174128,-0.33,-0.35200000000000004,0.8000000000000002,Excess (flood risk),East
Arunachal Pradesh,1965,1244.7,-44.88123086025451,0.18,-0.337,0.16666666666666666,Deficient (drought risk),East
Arunachal Pradesh,1966,1515.1,-32.9071686963699,0.66,-0.39966666666666667,-0.5,Deficient (drought risk),East
Arunachal Pradesh,1967,1121.2,-50.35015348318258,-0.45,-0.060000000000000005,0.39999999999999997,Deficient (drought risk),East
Arunachal Pradesh,1968,1385.9,-38.62850313266388,-0.44,0.03433333333333333,0.43333333333333335,Deficient (drought risk),East
Arunachal Pradesh,1969,1392.7,-38.32738026759577,0.77,-0.05200000000000001,-0.06666666666666667,Deficient (drought risk),East
Arunachal Pradesh,1970,1320.2,-41.53788140251306,0.19,0.15633333333333335,0.3,Deficient (drought risk),East
Arunachal Pradesh,1971,1359.3,-39.80642492837147,-0.85,0.12466666666666665,1.6333333333333335,Deficient (drought risk),East
Arunachal Pradesh,1972,1357.9,-39.86842081235607,0.41,0.106,-0.3666666666666667,Deficient (drought risk),East
Arunachal Pradesh,1973,1385.5,-38.64621624237377,-0.1,-0.011000000000000001,0.39999999999999997,Deficient (drought risk),East
Arunachal Pradesh,1974,2023.5,-10.39380625510164,-1.03,-0.014333333333333328,1.4333333333333333,Deficient (drought risk),East
Arunachal Pradesh,1975,1177.7,-47.84817673666083,-0.73,-0.10366666666666667,1.1333333333333333,Deficient (drought risk),East
Arunachal Pradesh,1976,1416.7,-37.26459368500247,-0.47,0.04599999999999999,0.7999999999999999,Deficient (drought risk),East
Arunachal Pradesh,1977,1950.2,-13.639733609438704,0.23,-0.06533333333333334,-0.4666666666666666,Deficient (drought risk),East
Arunachal Pradesh,1978,1417.4,-37.23359574301016,-0.18,-0.44333333333333336,0.3,Deficient (drought risk),East
Arunachal Pradesh,1979,1619.2,-28.297331894371425,0.28,-0.22833333333333336,0.16666666666666666,Deficient (drought risk),East
Arunachal Pradesh,1980,1957.1,-13.334182466943133,0.38,-0.19333333333333336,-0.3333333333333333,Deficient (drought risk),East
Arunachal Pradesh,1981,1667.4,-26.16290217432986,-0.37,0.033666666666666664,-0.20000000000000004,Deficient (drought risk),East
Arunachal Pradesh,1982,1746.4,-22.664563006626885,0.47,0.132,0.13333333333333333,Deficient (drought risk),East
Arunachal Pradesh,1983,1980.6,-12.293537271487185,1.29,-0.45533333333333337,-0.8999999999999999,Deficient (drought risk),East
Arunachal Pradesh,1984,1853.0,-17.94401926894161,-0.43,-0.12533333333333332,0.09999999999999999,Deficient (drought risk),East
Arunachal Pradesh,1985,1992.2,-11.779857089900412,-0.78,-0.32133333333333336,0.7999999999999999,Deficient (drought risk),East
Arunachal Pradesh,1986,1599.1,-29.187415657293325,-0.2,-0.21333333333333335,0.20000000000000004,Deficient (drought risk),East
Arunachal Pradesh,1987,2461.9,9.019761986936139,0.95,-0.04333333333333334,-1.3333333333333333,Normal,East
Arunachal Pradesh,1988,2457.0,8.802776392990001,-0.31,-0.318,0.5333333333333333,Normal,East
Arunachal Pradesh,1989,1956.8,-13.34746729922555,-0.83,-0.46433333333333326,1.3,Deficient (drought risk),East
Arunachal Pradesh,1990,2369.5,4.9280336439518955,0.29,-0.29233333333333333,0.3333333333333333,Normal,East
Arunachal Pradesh,1991,2303.9,2.023083651530188,0.26,0.21,-0.7666666666666666,Normal,East
Arunachal Pradesh,1992,1702.7,-24.599720242432202,1.29,-0.5910000000000001,-0.9,Deficient (drought risk),East
Arunachal Pradesh,1993,2203.7,-2.4140503307968886,0.67,-0.16766666666666666,-0.6666666666666666,Normal,East
Arunachal Pradesh,1994,1154.4,-48.87996537726183,0.31,0.36566666666666664,-0.9,Deficient (drought risk),East
Arunachal Pradesh,1995,2155.2,-4.561764883120867,0.3,-0.17400000000000002,-0.09999999999999998,Normal,East
Arunachal Pradesh,1996,1472.5,-34.79361488047303,-0.39,-0.24,0.7333333333333334,Deficient (drought risk),East
Arunachal Pradesh,1997,1583.7,-29.86937038112403,0.28,0.041,-0.7666666666666666,Deficient (drought risk),East
Arunachal Pradesh,1998,2707.4,19.891183071380194,0.99,0.044000000000000004,-1.1666666666666667,Excess (flood risk),East
Arunachal Pradesh,1999,1519.0,-32.734465876698486,-0.98,-0.028333333333333335,0.9666666666666668,Deficient (drought risk),East
Arunachal Pradesh,2000,1650.0,-26.933422446710008,-0.81,0.13166666666666665,0.9666666666666667,Deficient (drought risk),East
Arunachal Pradesh,2001,1147.8,-49.172231687475005,-0.34,0.08766666666666667,0.20000000000000004,Deficient (drought risk),East
Arunachal Pradesh,2002,1549.4,-31.38826953874696,0.2,-0.22433333333333336,-0.3666666666666667,Deficient (drought risk),East
Arunachal Pradesh,2003,1656.6,-26.641156136496857,-0.04,-0.10066666666666668,-0.2333333333333333,Deficient (drought risk),East
Arunachal Pradesh,2004,1578.7,-30.09078425249763,0.17,-0.18899999999999997,0.16666666666666666,Deficient (drought risk),East
Arunachal Pradesh,2005,1343.7,-40.497236207057114,0.43,-0.12733333333333333,-0.3666666666666667,Deficient (drought risk),East
Arunachal Pradesh,2006,1393.5,-38.291954048176,-0.37,-0.14966666666666664,0.8000000000000002,Deficient (drought risk),East
Arunachal Pradesh,2007,2185.1,-3.237709932306699,-0.32,0.16166666666666668,0.0,Normal,East
Arunachal Pradesh,2008,1508.7,-33.190578451728115,-1.01,0.041,0.6666666666666665,Deficient (drought risk),East
Arunachal Pradesh,2009,1111.8,-50.76641156136497,-0.33,0.161,0.3666666666666667,Deficient (drought risk),East
Arunachal Pradesh,2010,1653.6,-26.77400445932102,0.35,0.26633333333333337,0.4666666666666666,Deficient (drought risk),East
Arunachal Pradesh,2011,1384.2,-38.703783848930904,-0.62,0.14400000000000002,1.6000000000000003,Deficient (drought risk),East
Arunachal Pradesh,2012,2325.6,2.98401985329163,-0.36,-0.205,0.13333333333333333,Normal,East
Arunachal Pradesh,2013,1165.9,-48.37071347310255,-0.19,-0.24,0.8333333333333334,Deficient (drought risk),East
Arunachal Pradesh,2014,1750.8,-22.469718799818118,0.15,-0.10033333333333333,0.13333333333333333,Deficient (drought risk),East
Arunachal Pradesh,2015,1936.9,-14.228694507292495,0.81,-0.0030000000000000027,-0.4666666666666666,Deficient (drought risk),East
Arunachal Pradesh,2016,1678.2,-25.68464821216287,1.05,0.008333333333333326,-0.3,Deficient (drought risk),East
Arunachal Pradesh,2017,1583.5,-29.878226935978976,0.31,0.46366666666666667,0.3333333333333333,Deficient (drought risk),East
Assam & Meghalaya,1950,1643.1,-4.3256882217837225,-1.18,-0.49166666666666664,,Normal,East
Assam & Meghalaya,1951,1736.3,1.101154853944938,0.18,-0.131,-0.3666666666666667,Normal,East
Assam & Meghalaya,1952,1785.2,3.948500630802576,0.29,0.01733333333333334,0.3666666666666667,Normal,East
Assam & Meghalaya,1953,1603.4,-6.637337042668129,0.66,0.15,-0.5666666666666667,Normal,East
Assam & Meghalaya,1954,1812.6,5.543945912722796,-0.41,-0.2406666666666667,0.4666666666666666,Normal,East
Assam & Meghalaya,1955,1812.6,5.543945912722796,-0.8,-0.24033333333333332,0.5,Normal,East
Assam & Meghalaya,1956,1706.7,-0.6223918739688792,-0.54,-0.29033333333333333,1.2,Normal,East
Assam & Meghalaya,1957,1428.6,-16.815579206159228,0.72,-0.27466666666666667,-0.09999999999999998,Deficient (drought risk),East
Assam & Meghalaya,1958,1579.8,-8.011516190599428,0.93,-0.4056666666666667,0.06666666666666665,Normal,East
Assam & Meghalaya,1959,1424.6,-17.048490926147583,0.33,-0.5406666666666666,0.7333333333333334,Deficient (drought risk),East
Assam & Meghalaya,1960,1837.0,6.9647074046517625,0.03,-0.6389999999999999,0.7666666666666666,Normal,East
Assam & Meghalaya,1961,1261.7,-26.53382072267331,0.09,-0.391,-0.2333333333333333,Deficient (drought risk),East
Assam & Meghalaya,1962,1587.3,-7.574806715621264,-0.26,-0.016000000000000014,0.46666666666666673,Normal,East
Assam & Meghalaya,1963,1797.1,4.641412997767922,0.27,-0.06133333333333333,0.7666666666666667,Normal,East
Assam & Meghalaya,1964,1824.8,6.25432665868728,-0.33,-0.35200000000000004,0.8000000000000002,Normal,East
Assam & Meghalaya,1965,1626.7,-5.280626273735967,0.18,-0.337,0.16666666666666666,Normal,East
Assam & Meghalaya,1966,2053.9,19.594345421020286,0.66,-0.39966666666666667,-0.5,Excess (flood risk),East
Assam & Meghalaya,1967,1452.9,-15.400640507229966,-0.45,-0.060000000000000005,0.39999999999999997,Deficient (drought risk),East
Assam & Meghalaya,1968,1666.8,-2.9456862808527196,-0.44,0.03433333333333333,0.43333333333333335,Normal,East
Assam & Meghalaya,1969,1660.3,-3.324167825833796,0.77,-0.05200000000000001,-0.06666666666666667,Normal,East
Assam & Meghalaya,1970,1913.5,11.41914404942904,0.19,0.15633333333333335,0.3,Excess (flood risk),East
Assam & Meghalaya,1971,1551.3,-9.671012195516452,-0.85,0.12466666666666665,1.6333333333333335,Normal,East
Assam & Meghalaya,1972,1515.3,-11.767217675411642,0.41,0.106,-0.3666666666666667,Deficient (drought risk),East
Assam & Meghalaya,1973,1742.6,1.4679908129265937,-0.1,-0.011000000000000001,0.39999999999999997,Normal,East
Assam & Meghalaya,1974,2356.3,37.20247145213988,-1.03,-0.014333333333333328,1.4333333333333333,Excess (flood risk),East
Assam & Meghalaya,1975,1473.9,-14.177853977291102,-0.73,-0.10366666666666667,1.1333333333333333,Deficient (drought risk),East
Assam & Meghalaya,1976,1407.8,-18.02672015009867,-0.47,0.04599999999999999,0.7999999999999999,Deficient (drought risk),East
Assam & Meghalaya,1977,1505.2,-12.355319768382232,0.23,-0.06533333333333334,-0.4666666666666666,Deficient (drought risk),East
Assam & Meghalaya,1978,1478.2,-13.927473878303626,-0.18,-0.44333333333333336,0.3,Deficient (drought risk),East
Assam & Meghalaya,1979,1542.6,-10.177595186491127,0.28,-0.22833333333333336,0.16666666666666666,Deficient (drought risk),East
Assam & Meghalaya,1980,1537.1,-10.497848801475113,0.38,-0.19333333333333336,-0.3333333333333333,Deficient (drought risk),East
Assam & Meghalaya,1981,1431.8,-16.62924983016854,-0.37,0.033666666666666664,-0.20000000000000004,Deficient (drought risk),East
Assam & Meghalaya,1982,1720.6,0.1869763529906444,0.47,0.132,0.13333333333333333,Normal,East
Assam & Meghalaya,1983,1844.2,7.383948500630804,1.29,-0.45533333333333337,-0.8999999999999999,Normal,East
Assam & Meghalaya,1984,2292.5,33.48752951832562,-0.43,-0.12533333333333332,0.09999999999999999,Excess (flood risk),East
Assam & Meghalaya,1985,1895.1,10.347750137482606,-0.78,-0.32133333333333336,0.7999999999999999,Excess (flood risk),East
Assam & Meghalaya,1986,1726.6,0.5363439329731761,-0.2,-0.21333333333333335,0.20000000000000004,Normal,East
Assam & Meghalaya,1987,2170.6,26.389544851680512,0.95,-0.04333333333333334,-1.3333333333333333,Excess (flood risk),East
Assam & Meghalaya,1988,2151.0,25.248277423737587,-0.31,-0.318,0.5333333333333333,Excess (flood risk),East
Assam & Meghalaya,1989,1929.5,12.350790929382459,-0.83,-0.46433333333333326,1.3,Excess (flood risk),East
Assam & Meghalaya,1990,1750.2,1.9105230809044749,0.29,-0.29233333333333333,0.3333333333333333,Normal,East
Assam & Meghalaya,1991,1783.8,3.866981528806647,0.26,0.21,-0.7666666666666666,Normal,East
Assam & Meghalaya,1992,1578.5,-8.08721249959564,1.29,-0.5910000000000001,-0.9,Normal,East
Assam & Meghalaya,1993,1969.9,14.703199301264844,0.67,-0.16766666666666666,-0.6666666666666666,Excess (flood risk),East
Assam & Meghalaya,1994,1273.4,-25.852553941707367,0.31,0.36566666666666664,-0.9,Deficient (drought risk),East
Assam & Meghalaya,1995,2169.0,26.29638016368518,0.3,-0.17400000000000002,-0.09999999999999998,Excess (flood risk),East
Assam & Meghalaya,1996,1543.5,-10.125190049493742,-0.39,-0.24,0.7333333333333334,Deficient (drought risk),East
Assam & Meghalaya,1997,1763.4,2.679131756866047,0.28,0.041,-0.7666666666666666,Normal,East
Assam & Meghalaya,1998,1947.4,13.393070876330352,0.99,0.044000000000000004,-1.1666666666666667,Excess (flood risk),East
Assam & Meghalaya,1999,1710.2,-0.4185941189790691,-0.98,-0.028333333333333335,0.9666666666666668,Normal,East
Assam & Meghalaya,2000,1666.6,-2.9573318668521402,-0.81,0.13166666666666665,0.9666666666666667,Normal,East
Assam & Meghalaya,2001,1413.2,-17.712289328114384,-0.34,0.08766666666666667,0.20000000000000004,Deficient (drought risk),East
Assam & Meghalaya,2002,1589.8,-7.429236890628542,0.2,-0.22433333333333336,-0.3666666666666667,Normal,East
Assam & Meghalaya,2003,1573.3,-8.389997735580504,-0.04,-0.10066666666666668,-0.2333333333333333,Normal,East
Assam & Meghalaya,2004,1849.7,7.704202115614792,0.17,-0.18899999999999997,0.16666666666666666,Normal,East
Assam & Meghalaya,2005,1525.2,-11.19076116844046,0.43,-0.12733333333333333,-0.3666666666666667,Deficient (drought risk),East
Assam & Meghalaya,2006,1208.1,-29.65483777051727,-0.37,-0.14966666666666664,0.8000000000000002,Deficient (drought risk),East
Assam & Meghalaya,2007,1975.1,15.005984537249695,-0.32,0.16166666666666668,0.0,Excess (flood risk),East
Assam & Meghalaya,2008,1683.9,-1.9499886779024966,-1.01,0.041,0.6666666666666665,Normal,East
