SUBDIVISION,n,baseline_rmse,model_rmse,improvement
Arunachal Pradesh,64,27.7874265006506,26.454852602253318,1.332573898397282
Uttarakhand,67,19.508219879838922,18.675825852941145,0.8323940268977772
Matathwada,67,26.100238500541536,25.398865687627293,0.7013728129142436
Punjab,67,32.78200095342824,32.08910765070925,0.6928933027189856
West Uttar Pradesh,67,25.24508862670515,24.7918848874393,0.45320373926585233
Telangana,67,24.454748348757803,24.16940731811864,0.28534103063916305
East Uttar Pradesh,67,22.851044820469188,22.626966772376235,0.2240780480929523
East Rajasthan,67,23.149826420715144,23.031427300112114,0.11839912060302993
Bihar,67,17.520779271703592,17.427245089047826,0.09353418265576607
Konkan & Goa,67,16.41467815028215,16.387218860285834,0.027459289996315306
Gangetic West Bengal,67,17.500979337415693,17.58518489129554,-0.08420555387984763
Naga Mani Mizo Tripura,67,22.563769860508533,22.794729515129646,-0.23095965462111323
Coastal Andhra Pradesh,67,20.41072419059017,20.694613409897517,-0.2838892193073477
Lakshadweep,67,21.77498646832173,22.124021165715927,-0.3490346973941989
Himachal Pradesh,67,22.8882307026298,23.277800196740714,-0.389569494110912
Jharkhand,67,16.795378312361347,17.199979234454986,-0.40460092209363907
Haryana Delhi & Chandigarh,67,31.32692655313748,31.76916479821917,-0.44223824508168974
Assam & Meghalaya,67,14.784535635220902,15.250941871332714,-0.466406236111812
Sub Himalayan West Bengal & Sikkim,67,14.57193321650606,15.041211598923265,-0.46927838241720465
West Madhya Pradesh,67,19.838012164524436,20.30781576061681,-0.46980359609237254
Madhya Maharashtra,67,19.257513712924602,19.731262954474655,-0.4737492415500526
Orissa,67,14.145374368689916,14.624887328887528,-0.4795129601976118
Vidarbha,67,19.738768253928583,20.28533863571899,-0.5465703817904064
Tamil Nadu,67,22.91626094090541,23.50791555100846,-0.5916546101030491
Chhattisgarh,67,15.217650474752983,15.916612288082206,-0.6989618133292232
South Interior Karnataka,67,18.70423251253323,19.461271990691223,-0.7570394781579921
Jammu & Kashmir,66,32.036637615788116,32.81679420711169,-0.7801565913235748
Andaman & Nicobar Islands,67,15.26860461743568,16.058237825530302,-0.7896332080946227
East Madhya Pradesh,67,18.874078552065672,19.693677855229755,-0.8195993031640825
Coastal Karnataka,67,15.973348210305078,16.888222602391018,-0.9148743920859399
Kerala,67,19.12418805081856,20.077759324213453,-0.9535712733948927
North Interior Karnataka,67,22.49928107640251,23.489389433473363,-0.9901083570708522
West Rajasthan,67,37.004899116617494,38.04369780039954,-1.0387986837820478
Rayalseema,67,25.390343336857885,26.49667134377859,-1.1063280069207053
Gujarat Region,67,32.43584283234231,33.91479902818905,-1.4789561958467417
Saurashtra & Kutch,67,44.99267586907065,46.997043059830524,-2.004367190759872
