state,year,rainfall_mm,mean_temperature_c,drought_days,extreme_wet_days,rainfall_anomaly_mm
Andhra Pradesh,2000,967.97,27.80770491803279,160,25,68.0238461538462
Andhra Pradesh,2001,822.97,28.266876712328767,140,19,-76.9761538461538
Andhra Pradesh,2002,735.8,28.372602739726027,181,16,-164.14615384615388
Andhra Pradesh,2003,751.58,28.427479452054797,169,10,-148.3661538461538
Andhra Pradesh,2004,683.46,27.825792349726775,153,13,-216.4861538461538
Andhra Pradesh,2005,1058.82,27.888164383561644,127,22,158.8738461538461
Andhra Pradesh,2006,1095.07,27.764219178082193,154,18,195.1238461538461
Andhra Pradesh,2007,992.97,27.43580821917808,166,18,93.0238461538462
Andhra Pradesh,2008,957.66,27.94103825136612,165,20,57.713846153846134
Andhra Pradesh,2009,800.1,28.411178082191782,179,19,-99.84615384615381
Andhra Pradesh,2010,1253.68,27.92649315068493,160,26,353.73384615384623
Andhra Pradesh,2011,561.78,28.344520547945205,193,8,-338.16615384615386
Andhra Pradesh,2012,885.54,28.273469945355192,175,22,-14.40615384615387
Andhra Pradesh,2013,1052.41,27.699424657534248,173,21,152.46384615384625
Andhra Pradesh,2014,711.25,28.278027397260274,179,16,-188.69615384615383
Andhra Pradesh,2015,671.3100000000001,28.36986301369863,141,9,-228.63615384615377
Andhra Pradesh,2016,741.35,28.30658469945355,179,12,-158.5961538461538
Andhra Pradesh,2017,846.24,28.304054794520546,146,17,-53.706153846153825
Andhra Pradesh,2018,585.45,28.659890410958905,155,11,-314.4961538461538
Andhra Pradesh,2019,963.49,28.47002739726027,128,23,63.543846153846175
Andhra Pradesh,2020,1173.67,27.889207650273224,115,24,273.72384615384624
Andhra Pradesh,2021,982.73,27.856109589041093,103,19,82.78384615384618
Andhra Pradesh,2022,1000.18,27.66317808219178,127,24,100.23384615384612
Andhra Pradesh,2023,926.28,28.50476712328767,132,16,26.33384615384614
Andhra Pradesh,2024,1042.32,28.42661202185792,141,24,142.3738461538461
Andhra Pradesh,2025,1134.52,27.646739726027395,125,23,234.57384615384615
Arunachal Pradesh,2000,2071.65,21.420601092896174,100,19,35.898076923076815
Arunachal Pradesh,2001,1523.77,21.999260273972602,99,8,-511.9819230769233
Arunachal Pradesh,2002,1754.1499999999999,21.886383561643836,94,15,-281.6019230769234
Arunachal Pradesh,2003,1975.41,21.638493150684933,87,16,-60.341923076923194
Arunachal Pradesh,2004,2377.11,21.189344262295084,105,27,341.35807692307685
Arunachal Pradesh,2005,1857.93,21.555123287671233,96,16,-177.8219230769232
Arunachal Pradesh,2006,1673.96,22.151260273972603,92,15,-361.79192307692324
Arunachal Pradesh,2007,2380.73,21.51254794520548,130,25,344.97807692307674
Arunachal Pradesh,2008,2055.86,21.34857923497268,99,15,20.10807692307685
Arunachal Pradesh,2009,1884.85,21.82158904109589,126,20,-150.90192307692337
Arunachal Pradesh,2010,2520.65,21.58843835616438,119,24,484.8980769230768
Arunachal Pradesh,2011,1984.93,21.289616438356166,113,24,-50.82192307692321
Arunachal Pradesh,2012,2214.91,21.56415300546448,109,26,179.15807692307658
Arunachal Pradesh,2013,1973.76,22.171205479452055,134,19,-61.991923076923285
Arunachal Pradesh,2014,1944.09,22.402356164383562,123,20,-91.66192307692336
Arunachal Pradesh,2015,2194.07,22.302739726027397,108,21,158.3180769230769
Arunachal Pradesh,2016,1916.9,22.606147540983606,102,12,-118.85192307692319
Arunachal Pradesh,2017,2281.23,22.48704109589041,107,22,245.47807692307674
Arunachal Pradesh,2018,1892.41,22.01895890410959,98,10,-143.3419230769232
Arunachal Pradesh,2019,2188.67,21.973589041095888,100,21,152.9180769230768
Arunachal Pradesh,2020,2292.38,21.7696174863388,83,15,256.62807692307683
Arunachal Pradesh,2021,1748.65,22.096246575342466,109,13,-287.1019230769232
Arunachal Pradesh,2022,2207.53,21.619342465753427,103,17,171.77807692307692
Arunachal Pradesh,2023,1941.04,22.280246575342467,111,15,-94.71192307692331
Arunachal Pradesh,2024,1968.73,22.177677595628413,108,20,-67.02192307692326
Arunachal Pradesh,2025,2104.18,22.111452054794523,96,20,68.42807692307656
Assam,2000,1346.39,23.753524590163938,108,18,-31.771538461538285
Assam,2001,1019.85,24.38931506849315,112,9,-358.31153846153836
Assam,2002,1257.64,24.342931506849315,111,13,-120.52153846153828
Assam,2003,1314.5,24.033397260273976,90,13,-63.661538461538385
Assam,2004,1553.87,23.545081967213115,119,26,175.7084615384615
Assam,2005,1326.84,24.11917808219178,93,16,-51.321538461538466
Assam,2006,1051.3,24.74958904109589,121,11,-326.86153846153843
Assam,2007,1541.44,23.679890410958905,135,28,163.27846153846167
Assam,2008,1346.2,23.72174863387978,114,13,-31.96153846153834
Assam,2009,1298.52,24.335068493150683,134,20,-79.6415384615384
Assam,2010,1786.49,23.896520547945205,119,31,408.3284615384616
Assam,2011,1417.74,23.554109589041097,110,27,39.578461538461625
Assam,2012,1554.07,23.961584699453553,113,23,175.90846153846155
Assam,2013,1475.53,24.339726027397262,132,26,97.36846153846159
Assam,2014,1299.32,24.863013698630137,129,23,-78.84153846153845
Assam,2015,1678.8,24.60731506849315,112,24,300.63846153846157
Assam,2016,1458.79,24.926775956284153,82,16,80.62846153846158
Assam,2017,1770.47,24.547205479452053,109,24,392.30846153846164
Assam,2018,1326.12,24.207698630136985,92,12,-52.041538461538494
Assam,2019,1523.33,24.369315068493147,93,18,145.16846153846154
